CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",23/09/2019,1984,
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1918,
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",30/03/2016,@,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",31/07/1985,@,
CTL,CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/03/1999,@,
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",30/04/2010,@,
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27/08/2008,@,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",02/06/1997,@,
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",08/09/2016,@,
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",@,1879,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",28/04/2011,@,
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,@,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,@,
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,@,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,@,
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",01/03/2001,@,
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,@,
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",31/05/1988,@,
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,@,
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",01/12/1999,@,
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",31/03/1969,1913,
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,@,
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",03/05/1999,@,
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",@,1886,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,@,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",@,1806,
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",18/09/2015,@,
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",01/12/1995,@,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,@,
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",22/02/2016,@,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",@,2002,
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",@,1823,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",01/07/2005,@,
COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,@,
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,@,
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",@,1851,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",03/06/2019,2019,
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",01/10/1993,@,
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",03/10/2016,@,
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",14/03/2012,@,
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",30/09/1967,1980,
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",31/03/1965,1919,
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",@,1996,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",@,1978,
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",@,1969,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",@,1938,
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",31/07/2008,@,
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",@,1837,
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",11/09/2013,@,
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",14/11/2008,@,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/08/2000,@,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/2018,2007,
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",18/05/2016,@,
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",02/07/2007,@,
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",01/03/2010,@,
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",07/08/2014,@,
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,@,
